dt,AverageTemperature,Country,GDP,G20
1960-08-01,0.6448521916411826,China,59716467625.3148,True
1961-08-01,0.6439687393815835,China,50056868957.6732,True
1962-08-01,0.6415562351342168,China,47209359005.6057,True
1963-08-01,0.6533809038396194,China,50706799902.5104,True
1964-08-01,0.6463132857628271,China,59708343488.5043,True
1965-08-01,0.6202514441046552,China,70436266146.7219,True
1966-08-01,0.6597009853890587,China,76720285969.6157,True
1967-08-01,0.654774040095141,China,72881631326.6715,True
1968-08-01,0.6174311926605505,China,70846535055.6503,True
1969-08-01,0.6282704723071695,China,79705906247.4612,True
1970-08-01,0.6507305470608223,China,92602973434.0726,True
1971-08-01,0.6324498810737342,China,99800958648.1436,True
1972-08-01,0.6402650356778797,China,113687586299.051,True
1973-08-01,0.646109412164458,China,138544284708.957,True
1974-08-01,0.627624872579001,China,144182133387.722,True
1975-08-01,0.6590893645939517,China,163431551779.761,True
1976-08-01,0.6111450900441726,China,153940455341.506,True
1977-08-01,0.6399932042133878,China,174938098826.569,True
1978-08-01,0.6486578321440707,China,149540752829.268,True
1979-08-01,0.6363234794427455,China,178280594413.043,True
1980-08-01,0.627896704043493,China,191149211575.0,True
1981-08-01,0.6406727828746177,China,195866382432.54,True
1982-08-01,0.6450560652395515,China,205089699858.779,True
1983-08-01,0.6455317703024126,China,230686747153.257,True
1984-08-01,0.6376826367652055,China,259946510957.143,True
1985-08-01,0.6583758069996603,China,309488028132.653,True
1986-08-01,0.6343187223921168,China,300758100107.246,True
1987-08-01,0.6404349303431872,China,272972974764.574,True
1988-08-01,0.6422018348623852,China,312353631207.819,True
1989-08-01,0.636901121304791,China,347768051311.741,True
1990-08-01,0.654094461433911,China,360857912565.966,True
1991-08-01,0.6423377505946314,China,383373318083.624,True
1992-08-01,0.6284743459055385,China,426915712711.146,True
1993-08-01,0.6076452599388379,China,444731282436.762,True
1994-08-01,0.6623853211009174,China,564324670005.917,True
1995-08-01,0.6391437308868502,China,734547898220.508,True
1996-08-01,0.6356439007815154,China,863746717503.789,True
1997-08-01,0.6602446483180429,China,961603952951.82,True
1998-08-01,0.6494053686714236,China,1029043097554.08,True
1999-08-01,0.6443764865783214,China,1093997267271.06,True
