dt,AverageTemperature,Country
1960-08-01,18.978,China
1961-08-01,18.952,China
1962-08-01,18.881,China
1963-08-01,19.229,China
1964-08-01,19.021,China
1965-08-01,18.254,China
1966-08-01,19.415,China
1967-08-01,19.27,China
1968-08-01,18.171,China
1969-08-01,18.49,China
1970-08-01,19.151,China
1971-08-01,18.613,China
1972-08-01,18.843,China
1973-08-01,19.015,China
1974-08-01,18.471,China
1975-08-01,19.397,China
1976-08-01,17.986,China
1977-08-01,18.835,China
1978-08-01,19.09,China
1979-08-01,18.727,China
1980-08-01,18.479,China
1981-08-01,18.855,China
1982-08-01,18.984,China
1983-08-01,18.998,China
1984-08-01,18.767,China
1985-08-01,19.376,China
1986-08-01,18.668,China
1987-08-01,18.848,China
1988-08-01,18.9,China
1989-08-01,18.744,China
1990-08-01,19.25,China
1991-08-01,18.904,China
1992-08-01,18.496,China
1993-08-01,17.883,China
1994-08-01,19.494,China
1995-08-01,18.81,China
1996-08-01,18.707,China
1997-08-01,19.431,China
1998-08-01,19.112,China
1999-08-01,18.964,China
2000-08-01,19.08,China
2001-08-01,19.096,China
2002-08-01,19.284,China
2003-08-01,18.971,China
2004-08-01,18.757,China
2005-08-01,18.861,China
2006-08-01,20.066,China
2007-08-01,19.787,China
2008-08-01,18.826,China
2009-08-01,19.157,China
2010-08-01,19.657,China
2011-08-01,19.623,China
2012-08-01,19.458,China
2013-08-01,19.971,China
1960-08-01,28.324,Haiti
1961-08-01,28.294,Haiti
1962-08-01,28.029,Haiti
1963-08-01,28.385,Haiti
1964-08-01,28.102,Haiti
1965-08-01,28.167,Haiti
1966-08-01,28.391,Haiti
1967-08-01,28.423,Haiti
1968-08-01,28.294,Haiti
1969-08-01,28.287,Haiti
1970-08-01,27.961,Haiti
1971-08-01,27.772,Haiti
1972-08-01,27.713,Haiti
1973-08-01,28.204,Haiti
1974-08-01,27.989,Haiti
1975-08-01,28.395,Haiti
1976-08-01,27.916,Haiti
1977-08-01,28.252,Haiti
1978-08-01,28.073,Haiti
1979-08-01,28.084,Haiti
1980-08-01,28.316,Haiti
1981-08-01,28.238000000000003,Haiti
1982-08-01,28.333,Haiti
1983-08-01,28.431,Haiti
1984-08-01,27.98,Haiti
1985-08-01,28.307,Haiti
1986-08-01,28.49,Haiti
1987-08-01,28.91,Haiti
1988-08-01,28.061,Haiti
1989-08-01,28.197,Haiti
1990-08-01,28.765,Haiti
1991-08-01,28.54,Haiti
1992-08-01,28.199,Haiti
1993-08-01,28.428,Haiti
1994-08-01,28.498,Haiti
1995-08-01,28.279,Haiti
1996-08-01,28.458,Haiti
1997-08-01,29.43,Haiti
1998-08-01,29.22,Haiti
1999-08-01,28.992,Haiti
2000-08-01,28.665,Haiti
2001-08-01,29.14,Haiti
2002-08-01,28.975,Haiti
2003-08-01,28.723000000000003,Haiti
2004-08-01,29.132,Haiti
2005-08-01,28.933000000000003,Haiti
2006-08-01,28.692,Haiti
2007-08-01,28.811,Haiti
2008-08-01,28.859,Haiti
2009-08-01,29.155,Haiti
2010-08-01,29.313,Haiti
2011-08-01,28.554,Haiti
2012-08-01,28.77,Haiti
2013-08-01,28.525,Haiti
1960-08-01,25.526,Honduras
1961-08-01,25.6,Honduras
1962-08-01,25.682,Honduras
1963-08-01,25.81,Honduras
1964-08-01,25.484,Honduras
1965-08-01,25.59,Honduras
1966-08-01,25.540000000000006,Honduras
1967-08-01,25.521,Honduras
1968-08-01,25.471,Honduras
1969-08-01,25.356,Honduras
1970-08-01,25.290000000000006,Honduras
1971-08-01,25.009,Honduras
1972-08-01,25.299,Honduras
1973-08-01,25.317,Honduras
1974-08-01,25.297,Honduras
1975-08-01,25.189,Honduras
1976-08-01,25.652,Honduras
1977-08-01,25.911,Honduras
1978-08-01,25.57,Honduras
1979-08-01,25.759,Honduras
1980-08-01,25.877,Honduras
1981-08-01,25.584,Honduras
1982-08-01,25.928,Honduras
1983-08-01,25.844,Honduras
1984-08-01,25.327,Honduras
1985-08-01,25.35,Honduras
1986-08-01,25.83,Honduras
1987-08-01,26.018,Honduras
1988-08-01,26.007,Honduras
1989-08-01,25.872,Honduras
1990-08-01,25.790000000000006,Honduras
1991-08-01,26.126,Honduras
1992-08-01,25.739,Honduras
1993-08-01,25.702,Honduras
1994-08-01,26.017,Honduras
1995-08-01,26.231,Honduras
1996-08-01,25.474,Honduras
1997-08-01,26.22600000000001,Honduras
1998-08-01,26.621,Honduras
1999-08-01,25.989,Honduras
2000-08-01,25.719,Honduras
2001-08-01,25.937,Honduras
2002-08-01,26.14,Honduras
2003-08-01,25.97,Honduras
2004-08-01,26.50500000000001,Honduras
2005-08-01,26.373,Honduras
2006-08-01,26.554,Honduras
2007-08-01,25.961,Honduras
2008-08-01,26.02,Honduras
2009-08-01,26.219,Honduras
2010-08-01,25.837,Honduras
2011-08-01,26.469,Honduras
2012-08-01,25.892,Honduras
2013-08-01,24.92,Honduras
1960-08-01,25.092,Japan
1961-08-01,25.04,Japan
1962-08-01,24.679,Japan
1963-08-01,24.127,Japan
1964-08-01,24.994,Japan
1965-08-01,24.269,Japan
1966-08-01,24.697,Japan
1967-08-01,25.11,Japan
1968-08-01,23.842,Japan
1969-08-01,23.926,Japan
1970-08-01,24.382,Japan
1971-08-01,23.845,Japan
1972-08-01,24.224,Japan
1973-08-01,25.647,Japan
1974-08-01,24.38,Japan
1975-08-01,24.676,Japan
1976-08-01,22.831,Japan
1977-08-01,23.233,Japan
1978-08-01,25.571,Japan
1979-08-01,24.641,Japan
1980-08-01,21.938,Japan
1981-08-01,23.714,Japan
1982-08-01,24.268,Japan
1983-08-01,24.868,Japan
1984-08-01,25.569000000000003,Japan
1985-08-01,26.008000000000003,Japan
1986-08-01,24.569000000000003,Japan
1987-08-01,23.993,Japan
1988-08-01,24.609,Japan
1989-08-01,24.655,Japan
1990-08-01,25.64,Japan
